No,대표코드,품명,품번,경면(전면),임가공처
341,HF3-8,Palm Beach Ash,14-11049-136,HR,메라톤
342,B3-742,Palm Beach Ash,14-11049-136,UK,
343,B3-897,Palm Beach Ash CN,14-11049-137,UK,
344,B3-898,Palm Beach Ash CN,14-11049-138,UK,
345,B3-899,Palm Beach Ash,14-11049-139,UK,
346,HF6-50,Palm Beach Ash,14-11049-139,WB,제이에스폴리텍
347,HF3-55,Palm Beach Ash,14-11049-141,HR,
348,HF1-10,Palm Beach Ash,14-11049-조색4,민자 (소프트엠보),메라톤
349,A3-613,Borodino Ash,14-11057-001,UK,목림
350,A25-224,Borodino Ash,14-11057-002,J,건창기업(유사 TK)
351,B45-622,Borodino Ash,14-11057-002,L,
352,C45-38,Alassio Ash,14-11072-003,L,
353,A3-859,Almeria Ash,14-11089-001,UK,목림
354,A24-853,Almeria Ash,14-11089-001,QT,"목림,승은산업, 제이제이데코"
355,A3-195,Almeria Ash,14-11089-109,UK,목림
356,B43-13,Almeria Ash,14-11089-109,목림246,목림
357,A24-255,Almeria Ash,14-11089-109,QT,"목림,승은산업, 제이제이데코"
358,A4-653,Almeria Ash,14-11089-117,소프트엠보 ,"목림,승은산업,건창기업,제이제이 데코 등"
359,B3-822,Almeria Ash,14-11089-117,UK,
360,B43-15,Almeria Ash,14-11089-122,목림246,목림
361,A3-426,Almeria Ash,14-11089-122,UK,목림
362,A3-737,Almeria Ash,14-11089-128,UK,목림
363,B45-674,Almeria Ash,14-11089-128,L,
364,B45-673,Almeria Ash,14-11089-130,L,
365,B3-83,Almeria Ash,14-11089-132,UK,목림
366,B45-515,Almeria Ash,14-11089-132,L,
367,B45-513,Almeria Ash,14-11089-133,L,
368,A3-925,Almeria Ash,14-11089-133,UK,목림
369,B3-313,Almeria Ash,14-11089-134,UK,목림
370,A3-304,Bornholm Ash,14-11096-001,UK,목림
371,B3-745,Bornholm Ash,14-11096-104,UK,
372,A3-815,Almeria Ash,14-11389-129,UK,목림
373,A3-816,Almeria Ash,14-11389-130,UK,목림
374,B45-866,Bornholm Esche,14-11397-100,L,
375,A3-515,Bornholm Esche,14-11397-100,UK,목림
376,A3-516,Moldau Acacia,14-12004-002,UK,목림
377,A39-731,Moldau Acacia,14-12004-003,TK,목림(유사 J)
378,A3-730,Moldau Acacia,14-12004-003,UK,목림
379,B3-210,Moldau Acacia,14-12004-004,UK,목림
380,A4-648,Moldau Acacia,14-12004-004,소프트엠보 ,"목림,승은산업,건창기업,제이제이 데코 등"
381,B25-623,Moldau Acacia,14-12004-180,J,
382,A3-517,Moldau Acacia,14-12004-180,UK,목림
383,A3-69,Moldau Acacia,14-12004-186,UK,목림
384,A3-518,Moldau Acacia,14-12004-205,UK,목림
385,A3-858,Moldau Acacia,14-12004-245,UK,목림
386,B59-555,Gran Sasso Chestnut,14-12025-104,LV,건창기업
387,B45-867,Gran Sasso Chestnut,14-12025-104,L,
388,B3-312,Gran Sasso Chestnut,14-12025-104,UK,목림
389,B45-621,Armagnac Ruster,14-12029-122,L,
390,A3-846,Armagnac Ruster,14-12029-122,UK,목림
391,A3-68,Armagnac Elm ,14-12029-134,UK,목림
392,A25-295,Armagnac Elm ,14-12029-134,J,건창기업(유사 TK)
393,B3-865,Taormina Elm,14-12037-001,UK,
394,A13-128,Taormina Elm,14-12037-003,IT,목림
395,B3-161,Taormina Elm,14-12037-003,UK,목림
396,A3-62,Olmo Fidia,14-12052-101,UK,목림
397,A3-77,Olmo Fidia Excl.,14-12052-117,UK,목림
398,A25-220,Olmo Fidia Excl.,14-12052-117,J,건창기업(유사 TK)
399,C45-89,Olmo Fidia Excl.,14-12052-117,L,
400,A3-396,Tribeca,14-12057-103,UK,목림
401,A3-153,Tribeca Elm,14-12057-110,UK,목림
402,B43-16,Tribeca,14-12057-114,목림246,목림
403,HF2-22,Tribeca,14-12057-114,NM,메라톤
404,A7-935,Tribeca,14-12057-114,민자,"목림,승은산업,건창기업,제이제이 데코 등"
405,A3-154,Tribeca,14-12057-114(동원광주현장은128확인必),UK,목림
406,A25-223,Saratoga Hickory,14-12059-003,J,건창기업(유사 TK)
407,A3-275,Saratoga Hickory,14-12059-003,UK,목림
408,A3-196,Kitami Elm,14-12073-002,UK,목림
409,A24-261,Morava Acacia,14-12080-002,QT,"목림,승은산업, 제이제이데코"
410,A3-247,Jackson Hickory,14-12081-001,UK,목림
411,A3-246,Ventura Chestnut,14-12089-001,UK,목림
412,B3-123,California Elm,14-12095-001,UK,목림
413,B3-124,California Elm,14-12095-003,UK,목림
414,B3-125,California Elm,14-12095-004,UK,목림
415,A3-380,Canyon Malibu Chestnut,14-12101-003,UK,목림
416,HF4-43,Canyon Malibu Chestnut,14-12101-003,BF,
417,B45-196,Canyon Malibu Chestnut,14-12101-003,L,건창기업
418,HF2-31,Canyon Padua Chestnut,14-12119-001,NM,메라톤
419,C45-108,Castagno Arona,14-12192-001,L,
420,B45-505,Catalonia Ruster Excl.,14-12302-106,L,
421,A3-366,Catalonia Ruster Excl.,14-12302-106,UK,목림
422,A39-594,Catalonia Ruster Excl.,14-12302-106,TK,목림(유사 J)
423,B45-506,Catalonia Ruster Excl.,14-12302-107,L,
424,B3-434,Catalonia Ruster Excl.,14-12302-107,UK,
425,HF3-33,Morava Acacia,14-12319-002,HR,메라톤
426,B45-512,Morava Acacia,14-12319-002,L,
427,B11-82,Castagno Carducci,14-12332-101,PM,"목림, 건창기업"
428,A4-650,Castagno Carducci,14-12332-101,소프트엠보 ,"목림,승은산업,건창기업,제이제이 데코 등"
429,A3-154(★동원광주),Tribeca,14-12357-128,UK,목림
430,A3-365,Saratoga Hickory ,14-12359-102,UK,목림
431,A3-519,Jackson Hickory,14-12382-100,UK,목림
432,A3-520,Inntal Buche,14-14002-186,UK,목림
433,A3-521,Mangfall Buche,14-14013-002,UK,목림
434,B3-212,Mangfall Beech,14-14013-136,UK,목림
435,A3-114,Ellmau Beech,14-14016-120,UK,목림
436,A12-129,Stromberge Maple,14-16011-002,LT,건창기업
437,A3-90,Sylvenstein Maple,14-16013-105,UK,목림
438,A4-651,Stralsund Maple,14-16017-001,소프트엠보 ,"목림,승은산업,건창기업,제이제이 데코 등"
439,A4-654,Montreal Maple,14-16020-003,소프트엠보 ,"목림,승은산업,건창기업,제이제이 데코 등"
440,A3-874,Seefeld Maple,14-16058-001,UK,목림
441,A4-655,Seefeld Maple,14-16058-001,소프트엠보 ,"목림,승은산업,건창기업,제이제이 데코 등"
442,B54-406,Seefeld Maple,14-16058-141,ST,승은산업
443,A3-522,Wyoming Maple CN,14-16316-105,UK,목림
444,B45-724,Wyoming Maple CN,14-16316-105,L,
445,A3-523,Wyoming Maple,14-16316-106,UK,목림
446,B45-462,Calgary,14-18008-005,L,
447,HF2-32,Canyon Eurasia Oak,14-18027-001,NM,메라톤
448,B45-464,Santa Cruz Eiche,14-18030-001,L,
449,HF2-29,Santa Cruz Eiche,14-18030-001,NM,메라톤
450,HF2-30,Santa Cruz Eiche,14-18030-005,NM,메라톤
451,HF2-28,Alpha Oak,14-18040-001,NM,메라톤
452,C45-39,LOIRE OAK,14-18050-001,L,
453,B45-843,LOIRE OAK,14-18050-002,L,
454,B45-852,LOIRE OAK,14-18050-004,L,
455,C45-118,Arles Oak,14-18085-001,L,
456,C45-35,Arles Oak,14-18085-02,L,
457,C45-40,Sardes Oak,14-18089-002,L,
458,C45-119,Sardes Oak,14-18089-005,L,
459,C45-36,MODENA OAK,14-18092-002,L,
460,C45-41,Canyon Skagen Oak,14-18117-003,L,
461,C45-42,Vinovo Eiche,14-18127-001,L,
462,B62-613,Karlstad Eiche Classic CN,14-18302-104,AK,목림
463,AA1-2,Arles Eiche II,14-18386-101,동조엠보,썬플러스
464,AA1-1,Modena Oak II,14-18394-106,동조엠보,썬플러스
465,B62-612,Canyon Daytona Oak,14-18927-001,AK,목림
466,B45-467,Canyon daytona oak,14-18927-001,L,
467,B62-614,Nassau Oak,14-18931-101,AK,목림
468,A3-524,Lyon Nussbaum,14-20003-002,UK,목림
469,AT-780,Walnut Lyon,14-20003-004,G+ 도장 (soft touch),크라텍
470,AC-775,Walnut Lyon,14-20003-004,M2 도장 (easy coating),크라텍
471,A4-656,Walnut Lyon,14-20003-004,소프트엠보 ,"목림,승은산업,건창기업,제이제이 데코 등"
472,A3-33,Walnut Lyon,14-20003-004,UK,목림
473,B45-362,Walnut Lyon,14-20003-004,L,건창기업
474,A3-525,Lyon Nussbaum,14-20003-143,UK,목림
475,A3-237,Walnut Lyon,14-20003-149,UK,목림
476,A4-647,Walnut Lyon,14-20003-149,소프트엠보 ,"목림,승은산업,건창기업,제이제이 데코 등"
477,B59-557,Walnut Lyon,14-20003-191,LV,건창기업
478,A3-64,Walnut Lyon,14-20003-191,UK,목림
479,B40-583,Walnut Lyon,14-20003-191,HM,
480,B7-584,Walnut Lyon,14-20003-191,민자,
481,B45-185,Walnut Lyon,14-20003-191,L,건창기업
482,A3-236,Wisconsin Walnut,14-20006-003,UK,목림
483,A4-657,Wisconsin Walnut,14-20006-003,소프트엠보 ,"목림,승은산업,건창기업,제이제이 데코 등"
484,A3-449,Noce Solista,14-20017-115,UK,목림
485,A39-725, Noce Solista ,14-20017-115,TK,목림(유사 J)
486,B3-213,Noce Sondrio,14-20027-001,UK,목림
487,C25-61,Springfield Walnut,14-20030-101,J,
488,A3-303,Springfield Walnut,14-20030-101,UK,목림
489,A4-658,Springfield Walnut,14-20030-101,소프트엠보 ,"목림,승은산업,건창기업,제이제이 데코 등"
490,B45-339,Springfield Walnut,14-20030-101,L,건창기업
491,A3-182,Noce Athena,14-20034-103,UK,목림
492,C59-84,Noce Athena,14-20034-103,LV,
493,B45-263,Noce Orvieto,14-20039-100,L,건창기업
494,A14-124,Satin Walnut,14-20042-002,WT,목림
495,A14-119,Satin Walnut,14-20042-102,WT,목림
496,A3-67,Noce Narciso,14-20065-105,UK,목림
497,A25-684,Noce Narciso,14-20065-105,J,건창기업(유사 TK)
498,A3-183,Noce Narciso,14-20065-114,UK,목림
499,A24-370,Noce Narciso,14-20065-125,QT,"목림,승은산업, 제이제이데코"
500,B43-14,Noce Narciso,14-20065-125,목림246,목림
501,A3-369,Noce Narciso,14-20065-125,UK,목림
502,A7-368,Noce Narciso,14-20065-125,민자,"목림,승은산업,건창기업,제이제이 데코 등"
503,A3-197,Noce Narciso,14-20065-137,UK,목림
504,A3-660,Virginia Walnut,14-20101-001,UK,목림
505,A3-526,Virginia Walnut,14-20101-120,UK,목림
506,A3-903,Virginia Walnut II,14-20103-173,UK,목림
507,HF1-17,Canyon Summer Walnut,14-20115-어두운톤,민자 (소프트엠보),메라톤
508,A3-843,Baltimore Walnut,14-20121-106,UK,
509,B45-272,Vanguard Walnut,14-20148-114,L,건창기업
510,B7-714,Vanguard Walnut,14-20148-114,민자,
511,B59-559,Vanguard Walnut,14-20148-114,LV,건창기업
512,A3-479,Vanguard Walnut,14-20148-114,UK,목림
513,A3-797,Vanguard Walnut,14-20148-115,UK,목림
514,B45-692,Vanguard Walnut,14-20148-115,L,
515,C3-74,Vanguard Walnut,14-20148-118,UK,목림
516,B59-556,Vanguard Walnut,14-20148-118,LV,건창기업
517,B62-611,Vanguard Walnurt,14-20148-118,AK,목림
518,A3-235,Noce Dozuki,14-20157-004,UK,목림
519,A3-59,Chiavenna Walnut,14-20177-001,UK,목림
520,B3-530,Altamira Walnut,14-20179-004,UK,
521,A3-527,Noce Moscato,14-20184-005,UK,목림
522,A3-302,Noce Moscato,14-20184-109,UK,목림
523,A3-150,Noce Moscato,14-20184-125,UK,목림
524,Z12-003,Columbia Walnut,14-20187-005,LT,건창기업
525,A4-659,Columbia Walnut,14-20187-005,소프트엠보 ,"목림,승은산업,건창기업,제이제이 데코 등"
526,B45-340,Columbia Walnut,14-20187-005,L,건창기업
527,A3-87,San Diego Butternut,14-20200-002,UK,목림
528,B45-360,San Diego Butternut,14-20200-002,L,건창기업
529,C59-86,San Diego Butternut,14-20200-002,LV,
530,A25-221,San Diego Butternut,14-20200-002,J,건창기업(유사 TK)
531,A25-222,San Diego Butternut,14-20200-003,J,건창기업(유사 TK)
532,A3-88,San Diego Butternut,14-20200-003,UK,목림
533,A3-488,Fairfield Walnut,14-20212-003,UK,목림
534,C45-5,Ravello Walnut,14-20305-125,L,건창
535,B25-905,Noce Athena ,14-20310-100,J,
536,B3-88,Noce Athena,14-20310-100,UK,목림
537,A3-456,Thebes Walnut excl. ,14-20375-100,UK,목림
538,A39-457,Thebes Walnut excl. ,14-20375-100,TK,목림(유사 J)
539,A3-458,Thebes Walnut excl.,14-20375-101,UK,목림
540,A39-459,Thebes Walnut excl.,14-20375-101,TK,목림(유사 J)
541,A3-460,Thebes Walnut excl.,14-20375-102,UK,목림
542,B45-43,Thebes Walnut excl.,14-20375-102,L,건창기업
543,A39-461,Thebes Walnut excl.,14-20375-102,TK,목림(유사 J)
544,B45-44,Thebes Walnut excl.,14-20375-103,L,건창기업
545,B59-549,Thebes Walnut excl.,14-20375-103,LV,건창기업
546,A3-502,Thebes Walnut excl,14-20375-103,UK,목림
547,B7-504,Thebes Walnut excl,14-20375-103,민자,
548,A39-774,Thebes Walnut excl,14-20375-103,TK,목림(유사 J)
549,B3-847,Thebes Walnut excl.,14-20375-114,UK,
550,A3-629,Maryland Walnut CN,14-20378-101,UK,목림
551,B45-45,Maryland Walnut CN,14-20378-101,L,건창기업
552,A3-528,Columbia Nussbaum,14-20387-005,UK,목림
553,A3-34,Columbia Walnut,14-20387-100,UK,목림
554,A25-685,Columbia Walnut,14-20387-100,J,건창기업(유사 TK)
555,B7-713,Columbia Walnut,14-20387-100,민자,
556,C59-81,Columbia Walnut,14-20387-100,LV,
557,C12-34,Columbia Walnut,14-20387-100,LT,
558,B45-46,Columbia Walnut,14-20387-100,L,건창기업
559,C45-120,Ravello Walnut,14-20403-001,L,
560,C45-123,Ravello Walnut,14-20403-003,L,
561,C45-37,Ravello Walnut,14-20403-004,L,
562,C45-121,Ravello Walnut,14-20403-005,L,
563,C45-43,ORLANDO WALNUT,14-20409-002,L,
564,C45-122,Bellinzona Walnut,14-20419-001,L,
565,A3-115,Planked Natural Walnut,14-20933-105,UK,목림
566,B3-309,Cherry Tennessee,14-21013-조색11,UK,목림
567,B7-308,Cherry Tennessee,14-21013-조색11,민자,
568,B3-307,Cherry Tennessee,14-21013-조색7,UK,목림
569,B7-306,Cherry Tennessee,14-21013-조색7,민자,
570,A14-123,Memphis Cherry,14-21018-001,WT,목림
571,A14-121,Canyon Historic Cherry,14-21034-104,WT,목림
572,A24-262,Ascona Cherry,14-21047-104,QT,"목림,승은산업, 제이제이데코"
573,B53-400,Nabucco Cherry transv.,14-21106-011,HS-1,승은산업
574,A3-61,Nabucco Cherry,14-21117-001,UK,목림
575,A3-673,Nabucco Cherry,14-21117-105,UK,목림
576,A3-388,Yalta Cherry excl. CN,14-21312-101,UK,목림
577,A3-389,Yalta Cherry excl. CN,14-21312-110,UK,목림
578,B3-211,Lindau Pear,14-22002-110,UK,목림
579,A3-462,Indian Apple,14-22022-107,UK,목림
580,A3-751,Indian Apple,14-22022-112,UK,목림
581,B3-63,Astoria Plum,14-22028-002,UK,목림
582,A3-151,Pear Aarau,14-22035-100,UK,목림
583,A3-567,Wallis Plum,14-22037-144,UK,목림
584,A3-450,Wallis Plum,14-22037-235,UK,목림
585,A39-455,Wallis Plum,14-22037-235,TK,목림(유사 J)
586,A3-143,Wallis Plum,14-22037-238,UK,목림
587,A7-144,Wallis Plum,14-22037-238,민자,"목림,승은산업,건창기업,제이제이 데코 등"
588,A39-727,Wallis Plum,14-22037-244,TK,목림(유사 J)
589,A3-726,Wallis Plum,14-22037-244,UK,목림
590,A3-475,Wallis Plum,14-22037-250,UK,목림
591,A39-476,Wallis Plum,14-22037-250,TK,목림(유사 J)
592,B3-234,Wallis Plum,14-22037-257,UK,목림
593,B45-787,Calvi Apple,14-22039-004,L,
594,A3-185,Calvi Apple,14-22039-004,UK,목림
595,B45-507,Calvi Apple,14-22039-121,L,
596,A24-363,Calvi Apple,14-22039-121,QT,"목림,승은산업, 제이제이데코"
597,A39-489,Calvi Apple,14-22039-121,TK,목림(유사 J)
598,A3-362,Calvi Apple,14-22039-121,UK,목림
599,B45-540,Planked Natural Merbau,14-23010-102,L,
600,B3-214,Planked Natural Merbau,14-23010-102,UK,
601,B3-215,Nairobi Wenge,14-23012-109,UK,목림
602,T45-438,Arusha Wenge,14-23057-004,L,건창기업
603,A3-186,Arusha Wenge,14-23057-004,UK,목림
604,A3-162,Sunda Ebony,14-23064-003,UK,목림
605,A25-680,Acajou,14-23083-109,J,건창기업(유사 TK)
606,A3-448,Acajou,14-23083-109,UK,목림
607,A3-529,Carolina Wenge,14-23089-100,UK,목림
608,C45-44,Siwa,14-23106-001,L,
609,B54-404,Rio Palisander,14-24005-102,ST,승은산업
610,A39-716,Rio Palisander,14-24005-102,TK,목림(유사 J)
611,A3-60,Rio Palisander,14-24005-102,UK,목림
612,B45-184,Rio Palisander,14-24005-102,L,건창기업
613,A24-141,Rio Palisander,14-24005-102,QT,"목림,승은산업, 제이제이데코"
614,A3-717,Vintage Teak,14-24006-105,UK,목림
615,B45-341,Vintage Teak,14-24006-105,L,건창기업
616,A7-718,Vintage Teak,14-24006-105,민자,"목림,승은산업,건창기업,제이제이 데코 등"
617,B43-17,Vintage Teak,14-24006-105,목림246,목림
618,B3-302,Siam teak,14-24008-110,UK,목림
619,A3-605,Kandy Jacaranda,14-24009-106,UK,목림
620,A25-681,Palau Teak ,14-24029-110,J,건창기업(유사 TK)
621,B25-294,Palau Teak ,14-24029-110,J,건창기업(유사 TK)
622,A3-378,Palau Teak,14-24029-110,UK,목림
623,B43-18,Palau Teak,14-24029-110,목림246,목림
624,A3-930,Palau Teak,14-24029-111,UK,목림
625,B45-927,Palau Teak,14-24029-111,L,
626,A39-578,Palau Teak,14-24029-111,TK,목림(유사 J)
627,A3-309,Sumba Palisander,14-24053-101,UK,목림
628,A25-686,Sumba Palisander,14-24053-101,J,건창기업(유사 TK)
629,B45-361,Sumba Palisander,14-24053-101,L,건창기업
630,A3-35,Teak Select Smartboard,14-24087-103,UK,목림
631,A3-530,Bengali Mango,14-24339-101,UK,목림
632,A14-127,Agora,14-26007-104,WT,목림
633,A24-408,Linewood,14-26022-111,QT,"목림,승은산업, 제이제이데코"
634,A3-407,Linewood,14-26022-111,UK,목림
635,A14-122,Linewood,14-26022-111,WT,목림
636,B3-65,Canyon Bamboo ,14-26030-003,UK,목림
637,B3-66,Canyon Bamboo ,14-26030-004,UK,목림
638,B3-115,Frost Pine,14-26087-003,UK,목림
639,B39-90,Black Glow,14-26098-004,TK,목림(유사 J)
640,A3-618,Fineline CN,14-26312-129,UK,목림
641,A3-531,Fineline CN,14-26312-130,UK,목림
642,A36-406,Platin,14-50009-135,CH,청림보드(인터플러스 경면)
643,A7-189,Platin,14-50009-135,민자,"목림,승은산업,건창기업,제이제이 데코 등"
644,A34-188,Platin,14-50009-135,TI,건창기업
645,B35-230,Platin,14-50009-135,SJ1,청림보드 (성지라미텍 경면)
646,A34-270,Strichlack,14-50013-135,TI,건창기업 
647,A36-405,Strichlack,14-50013-138,CH,청림보드(인터플러스 경면)
648,A34-271,Strichlack,14-50013-138,TI,건창기업
649,A8-36,Strichlack,14-50013-138,FB,목림
650,A11-132,Rainbow,14-50033-002,PM,"목림, 건창기업"
651,A38-427,Nevada,14-50043-105,PNS,목림(피앤데코 경면) / 엇결
652,B4-533,Nevada,14-50043-105,소프트엠보,
653,B4-534,Nevada,14-50043-106,소프트엠보,
654,A38-419,Nevada,14-50043-106,PNS,목림(피앤데코 경면) / 엇결
655,A38-420,Nevada,14-50043-107,PNS,목림(피앤데코 경면) / 엇결
656,A38-421,Nevada,14-50043-108,PNS,목림(피앤데코 경면) / 엇결
657,A38-422,Nevada,14-50043-110,PNS,목림(피앤데코 경면) / 엇결
658,B40-251,Nevada,14-50043-110,HM,목림(유사 SM)
659,A36-443,Titan,14-50046-105,CH,청림보드(인터플러스 경면)
660,B7-298,Titan,14-50046-105,민자,"목림,승은산업,건창기업,제이제이 데코 등"
661,B35-231,Titan,14-50046-105,SJ1,청림보드 (성지라미텍 경면)
662,A2-11,Titan,14-50046-105,CR,목림
663,A34-190,Titan,14-50046-105,TI,건창기업
664,B7-69,Titan,14-50046-106,민자,"목림,승은산업,건창기업,제이제이 데코 등"
665,A36-451,Titan,14-50046-106,CH,청림보드(인터플러스 경면)
666,A2-12,Titan,14-50046-106,CR,목림
667,A34-267,Titan,14-50046-106,TI,건창기업
668,A2-13,Titan,14-50046-107,CR,목림
669,A36-375,Titan,14-50046-107,CH,청림보드(인터플러스 경면)
670,B35-232,Titan,14-50046-107,SJ1,청림보드 (성지라미텍 경면)
671,A34-265,Titan,14-50046-107,TI,건창기업
672,B7-70,Titan,14-50046-107,민자,"목림,승은산업,건창기업,제이제이 데코 등"
673,A2-14,Titan,14-50046-108,CR,목림
674,B7-71,Titan,14-50046-108,민자,"목림,승은산업,건창기업,제이제이 데코 등"
675,A36-376,Titan,14-50046-108,CH,청림보드(인터플러스 경면)
676,A34-266,Titan,14-50046-108,TI,건창기업
677,A35-340,Matera,14-50056-002,SJ1,청림보드 (성지라미텍 경면)
678,A16-203,Matera,14-50056-002,SM,"승은산업,건창기업(유사 HM)"
679,B45-465,Lamella,14-50085-002,L,
