No,대표코드,품명,품번,경면(전면),임가공처
680,C59-106,Lamella,14-50085-002,LV,
681,B8-310,Polo,14-51341-106,FB,목림
682,A34-391,Clou Negativ,14-53010-108,TI,건창기업
683,A16-719,Clou Negativ,14-53010-108,SM,"승은산업,건창기업(유사 HM)"
684,A34-191,Clou Negativ,14-53010-117,TI,건창기업
685,A2-134,Clou Negativ,14-53010-117,CR,목림
686,B37-617,Rigoletto,14-54001-005,VS,
687,C65-19,Rigoletto,14-54001-005,K,승은산업
688,B56-471,Rigoletto,14-54001-005,DP,승은산업
689,B56-493,Rigoletto,14-54001-006,DP,승은산업
690,B40-536,Rigoletto,14-54001-110,HM,
691,C37-100,Rigoletto,14-54001-110,VS,
692,A1-398,Green Oasis,14-54012-002,CT,목림
693,A35-371,Green Oasis,14-54012-002,SJ1,청림보드 (성지라미텍 경면)
694,A37-402,Green Oasis,14-54012-002,VS,청림보드(인터플러스 경면)
695,A35-400,Green Oasis,14-54012-103,SJ1,청림보드 (성지라미텍 경면)
696,A1-399,Green Oasis,14-54012-103,CT,목림
697,A37-401,Green Oasis,14-54012-103,VS,청림보드(인터플러스 경면)
698,A40-738,Green Oasis,14-54012-103,HM,목림(유사 SM)
699,A35-311,Alhambra,14-54018-004,SJ1,청림보드 (성지라미텍 경면)
700,B46-587,Alhambra,14-54018-104,NS,
701,A35-312,Alhambra,14-54018-104,SJ1,청림보드 (성지라미텍 경면)
702,B55-407,Alhambra,14-54018-104,MM,승은산업
703,B37-160,Alhambra,14-54018-104,VS,청림보드(인터플러스 경면)
704,B46-588,Alhambra,14-54018-134,NS,
705,A1-732,Alhambra,14-54018-134,CT,목림
706,A35-733,Alhambra,14-54018-134,SJ1,청림보드 (성지라미텍 경면)
707,A16-723,Alhambra,14-54018-134,SM,"승은산업,건창기업(유사 HM)"
708,A37-734,Alhambra,14-54018-134,VS,청림보드(인터플러스 경면)
709,C65-29,Alhambra,14-54018-136,K,승은산업
710,B16-578,Alhambra,14-54018-136,SM,
711,B37-304,Alhambra,14-54018-136,VS,청림보드(인터플러스 경면)
712,B46-590,Alhambra,14-54018-136,NS,
713,C65-30,Alhambra,14-54018-137,K,승은산업
714,B35-459,Alhambra,14-54018-137,SJ1,
715,B16-291,Alhambra,14-54018-조색1,SM,"승은산업,건창기업(유사 HM)"
716,B37-490,Alhambra,14-54018-조색1,VS,
717,B37-380,Alhambra,14-54018-조색3,VS,청림보드(인터플러스 경면)
718,A35-313,Raw Steel,14-54020-003,SJ1,청림보드 (성지라미텍 경면)
719,A1-178,Raw Steel,14-54020-003,CT,목림
720,A40-696,Valongo,14-54031-109,HM,목림(유사 SM)
721,A37-697,Valongo,14-54031-109,VS,청림보드(인터플러스 경면)
722,A35-711,Valongo,14-54031-109,SJ1,청림보드 (성지라미텍 경면)
723,A37-699,Valongo,14-54031-110,VS,청림보드(인터플러스 경면)
724,B46-367,Valongo,14-54031-110,NS,건창기업
725,A40-698,Valongo,14-54031-110,HM,목림(유사 SM)
726,A35-712,Valongo,14-54031-110,SJ1,청림보드 (성지라미텍 경면)
727,A35-713,Valongo,14-54031-111,SJ1,청림보드 (성지라미텍 경면)
728,A37-701,Valongo,14-54031-111,VS,청림보드(인터플러스 경면)
729,B16-519,Valongo,14-54031-111,SM,
730,A40-700,Valongo,14-54031-111,HM,목림(유사 SM)
731,A40-702,Valongo,14-54031-112,HM,목림(유사 SM)
732,B16-520,Valongo,14-54031-112,SM,
733,A37-703,Valongo,14-54031-112,VS,청림보드(인터플러스 경면)
734,A35-714,Valongo,14-54031-112,SJ1,청림보드 (성지라미텍 경면)
735,B37-531,Valongo,14-54031-113,VS,
736,B16-694,Valongo ,14-54031-113,SM,
737,B37-532,Valongo,14-54031-122,VS,
738,B16-693,Valongo ,14-54031-122,SM,
739,B35-872,Travertin,14-54034-127,SJ1,
740,B56-730,Travertin,14-54034-127,DP,승은산업
741,B16-57,Travertin,14-54034-999,SM,"승은산업,건창기업(유사 HM)"
742,A35-314,Salome,14-54041-108,SJ1,청림보드 (성지라미텍 경면)
743,A41-805,Salome,14-54041-108,DP3,프린테크IM
744,A16-663,Salome,14-54041-108,SM,"승은산업,건창기업(유사 HM)"
745,B46-544,Salome,14-54041-108,NS,
746,A1-135,Salome,14-54041-108,CT,목림
747,A15-381,Salome,14-54041-108,FT,목림
748,B46-545,Salome,14-54041-174,NS,
749,A10-42,Salome,14-54041-174,DS,목림
750,A40-828,Salome,14-54041-174,HM,목림(유사 SM)
751,A1-454,Salome,14-54041-174,CT,목림
752,A35-315,Salome,14-54041-174,SJ1,청림보드 (성지라미텍 경면)
753,B46-716,Bonito,14-54042-011,NS,
754,A1-453,Bonito,14-54042-011,CT,목림
755,A35-316,Bonito,14-54042-011,SJ1,청림보드 (성지라미텍 경면)
756,A11-46,Bonito,14-54042-011,PM,"목림, 건창기업"
757,A9-40,FIORDIPELLE,14-54046-003,CL,목림
758,A42-807,FIORDIPELLE,14-54046-003,LE1,프린테크
759,B50-390,Fiordipelle,14-54046-003,CS,건창기업
760,A6-55,Fiordipelle,14-54046-003,무광,"목림,승은산업,건창기업,제이제이 데코 등"
761,B40-489,Fiordipelle,14-54046-003,HM,
762,A1-65,Fiordipelle,14-54046-003,CT,목림
763,A26-97,Twist,14-54056-002,T,건창기업
764,A8-38,Twist,14-54056-002,FB,목림
765,B40-55,Twist,14-54056-122,SM,"승은산업,건창기업(유사 HM)"
766,A8-591,Twist,14-54056-122,FB,목림
767,B44-315,Twist,14-54056-123,목림273,목림
768,A8-872,Twist,14-54056-123,FB,목림
769,B44-316,Twist,14-54056-124,목림273,목림
770,A8-873,Twist,14-54056-124,FB,목림
771,A8-39,Twist,14-54056-126,FB,목림
772,B44-27,Twist,14-54056-126,목림273,목림
773,B40-56,Twist,14-54056-126,SM,"승은산업,건창기업(유사 HM)"
774,A4-532,Twist,14-54056-138,소프트엠보,"목림,승은산업,건창기업,제이제이 데코 등"
775,A4-533,Twist,14-54056-156,소프트엠보,"목림,승은산업,건창기업,제이제이 데코 등"
776,B26-907,Twist,14-54056-187,T,
777,B16-906,Twist,14-54056-187,SM,
778,B7-808,Twist,14-54056-187,민자,
779,A4-534,Twist,14-54056-187,소프트엠보,"목림,승은산업,건창기업,제이제이 데코 등"
780,A4-535,Twist,14-54056-189,소프트엠보,"목림,승은산업,건창기업,제이제이 데코 등"
781,A4-536,Twist,14-54056-336,소프트엠보,"목림,승은산업,건창기업,제이제이 데코 등"
782,B8-524,Twist,14-54056-390,FB,
783,B16-916,Twist,14-54056-390,SM,
784,B46-335,Statuario Venato,14-54060-002,NS,건창기업
785,A35-553,Statuario Venato,14-54060-002,SJ1,청림보드 (성지라미텍 경면)
786,A7-177,Statuario Venato,14-54060-002,민자,"목림,승은산업,건창기업,제이제이 데코 등"
787,A40-616,Statuario Venato,14-54060-002,HM,목림(유사 SM)
788,A1-80,Statuario Venato,14-54060-002,CT,목림
789,C7-56,Statuario Venato,14-54060-117,민자,
790,B40-784,Statuario Venato,14-54060-117,HM,
791,B46-126,Grace Stone,14-54063-100,NS,건창기업
792,B16-159,Grace Stone,14-54063-103,SM,"승은산업,건창기업(유사 HM)"
793,B46-382,Grace Stone,14-54063-103,NS,건창기업
794,C37-73,Grace Stone,14-54063-103,VS,
795,B46-698,Mandu Slate,14-54066-005,NS,
796,A35-293,Veneziano,14-54067-104,SJ1,청림보드 (성지라미텍 경면)
797,B46-777,Veneziano,14-54067-104,NS,
798,B40-208,Sierra,14-54069-131,HM,목림(유사 SM)
799,A1-168,Vesuv,14-54078-001,CT,목림
800,B46-236,Vesu,14-54078-001,NS,건창기업
801,A16-160,Vesuv,14-54078-001,SM,"승은산업,건창기업(유사 HM)"
802,A35-317,Vesuv,14-54078-001,SJ1,청림보드 (성지라미텍 경면)
803,A33-84,Vesuv,14-54078-001,2337TDN,프린테크IM
804,A16-202,Vesuv,14-54078-004,SM,"승은산업,건창기업(유사 HM)"
805,A37-437,Vesuv,14-54078-004,VS,청림보드(인터플러스 경면)
806,A33-85,Vesuv,14-54078-004,2337TDN,프린테크IM
807,A7-57,Vesuv,14-54078-004,민자,"목림,승은산업,건창기업,제이제이 데코 등"
808,A1-92,Vesuv,14-54078-004,CT,목림
809,A35-318,Vesuv,14-54078-004,SJ1,청림보드 (성지라미텍 경면)
810,A15-58,Vesuv,14-54078-004,FT,목림
811,A10-43,Vesuv,14-54078-122,DS,목림
812,B51-237,Vesuv,14-54078-122,SJ1,청림보드 (성지라미텍 경면)
813,A40-829,Vesuv,14-54078-122,HM,목림(유사 SM)
814,C35-55,Colosseo,14-54079-101,SJ1,
815,B40-153,Colosseo,14-54079-101,HM,목림(유사 SM)
816,A15-167,Colosseo,14-54079-101,FT,목림
817,B35-871,Colosseo,14-54079-102,SJ1,
818,B56-659,Colosseo,14-54079-102,DP,승은산업
819,B40-154,Colosseo,14-54079-102,HM,목림(유사 SM)
820,B46-319,Colosseo,14-54079-102,NS,건창기업
821,B56-718,Colosseo,14-54079-102(중복),DP,승은산업
822,B56-717,Colosseo,14-54079-105,DP,승은산업
823,B40-155,Colosseo,14-54079-105,HM,목림(유사 SM)
824,C35-124,Colosseo,14-54079-105,SJ1,
825,B46-368,Colosseo,14-54079-105,NS,건창기업
826,B37-811,Colosseo,14-54079-107,VS,
827,A16-662,Colosseo,14-54079-107,SM,"승은산업,건창기업(유사 HM)"
828,A35-319,Colosseo,14-54079-107,SJ1,청림보드 (성지라미텍 경면)
829,A1-194,Colosseo,14-54079-107,CT,목림
830,B56-504,Colosseo,14-54079-107,DP,승은산업
831,B56-505,Colosseo,14-54079-110,DP,승은산업
832,B37-430,Colosseo,14-54079-110,VS,청림보드(인터플러스 경면)
833,A40-844,Colosseo,14-54079-110,HM,목림(유사 SM)
834,B46-494,Colosseo,14-54079-110,NS,
835,B35-129,Colosseo,14-54079-110,SJ1,청림보드 (성지라미텍 경면)
836,B40-332,Colosseo,14-54079-111,HM,목림(유사 SM)
837,B56-470,Colosseo,14-54079-111,DP,승은산업
838,B49-172,Vesuv,14-54079-L217297/10,GRT,한솔
839,B46-101,Mercurio,14-54086-006,NS,건창기업
840,B31-50,Yes,14-54097-107,F,건창기업
841,A8-37,Yes,14-54097-107,FB,목림
842,B44-28,Yes,14-54097-107,목림273,목림
843,A10-44,Solino,14-54098-004,DS,목림
844,A1-152,Solino,14-54098-004,CT,목림
845,A35-320,Solino,14-54098-004,SJ1,청림보드 (성지라미텍 경면)
846,B37-875,Solino,14-54098-004,VS,
847,A9-41,Solino,14-54098-005,CL,목림
848,B16-455,Solino,14-54098-005,SM,
849,A35-321,Solino,14-54098-005,SJ1,청림보드 (성지라미텍 경면)
850,A1-397,Solino,14-54098-005,CT,목림
851,A40-830,Solino,14-54098-005,HM,목림(유사 SM)
852,A37-926,Solino,14-54098-005,VS,청림보드(인터플러스 경면)
853,B16-456,Solino,14-54098-136,SM,
854,B37-876,Solino,14-54098-136,VS,
855,A35-322,Solino,14-54098-136,SJ1,청림보드 (성지라미텍 경면)
856,A1-170,Solino,14-54098-136,CT,목림
857,B37-877,Solino,14-54098-139,VS,
858,B40-199,Solino,14-54098-139,HM,목림(유사 SM)
859,B40-200,Solino,14-54098-140,HM,목림(유사 SM)
860,B35-443,Solino,14-54098-140,SJ1,
861,B37-326,Solino,14-54098-140,VS,청림보드(인터플러스 경면)
862,B46-325,Solino,14-54098-140,NS,건창기업
863,A1-841,Solino,14-54098-141,CT,목림 
864,B35-331,Solino,14-54098-141,SJ1,
865,B56-634,Solino,14-54098-141,DP,승은산업
866,B37-327,Solino,14-54098-141,VS,청림보드(인터플러스 경면)
867,B46-320,Solino,14-54098-141,NS,건창기업
868,B40-201,Solino,14-54098-141,HM,목림(유사 SM)
869,A35-324,Sahara,14-54099-001,SJ1,청림보드 (성지라미텍 경면)
870,A37-434,Sahara,14-54099-001,VS,청림보드(인터플러스 경면)
871,A1-250,Sahara,14-54099-001,CT,목림
872,A40-904,Sahara,14-54099-001,HM,목림(유사 SM)
873,A35-325,Sahara,14-54099-002,SJ1,청림보드 (성지라미텍 경면)
874,A1-251,Sahara,14-54099-002,CT,목림
875,A35-326,Loft,14-54103-001,SJ1,청림보드 (성지라미텍 경면)
876,A1-452,Loft,14-54103-001,CT,목림
877,A16-724,Loft,14-54103-127,SM,"승은산업,건창기업(유사 HM)"
878,A40-798,Loft,14-54103-127,HM,목림(유사 SM)
879,C65-18,Loft,14-54103-127,K,승은산업
880,A1-735,Loft,14-54103-127,CT,목림
881,A35-736,Loft,14-54103-127,SJ1,청림보드 (성지라미텍 경면)
882,B16-526,Batian,14-54104-001,SM,
883,B40-537,Batian,14-54104-102,HM,
884,A1-252,Loft,14-54109-001,CT,목림
885,A40-831,Bronzite,14-54109-101,HM,목림(유사 SM)
886,A35-621,Bronzite,14-54109-101,SJ1,청림보드 (성지라미텍 경면)
887,B16-122,Bronzite,14-54109-103,SM,"승은산업,건창기업(유사 HM)"
888,A35-327,Bronzite,14-54109-103,SJ1,청림보드 (성지라미텍 경면)
889,A11-47,Bronzite,14-54109-103,PM,"목림, 건창기업"
890,A1-137,Bronzite,14-54109-103,CT,목림
891,B37-75,Bronzite,14-54109-103,VS,청림보드(인터플러스 경면)
892,B46-265,Bronzite,14-54109-103,NS,건창기업
893,A16-664,Bronzite,14-54109-105,SM,"승은산업,건창기업(유사 HM)"
894,A1-432,Bronzite,14-54109-105,CT,목림
895,A10-604,Bronzite,14-54109-105,DS,목림
896,A35-328,Bronzite,14-54109-105,SJ1,청림보드 (성지라미텍 경면)
897,B46-269,Bronzite,14-54109-106,NS,건창기업
898,B1-271,Bronzite,14-54109-106,CT,목림
899,B40-270,Bronzite,14-54109-106,HM,목림(유사 SM)
900,B35-111,Bronzite,14-54109-106,SJ1,청림보드 (성지라미텍 경면)
901,A1-79,Oriental Brown,14-54115-005,CT,목림
902,A37-416,Oriental Brown,14-54115-005,VS,청림보드(인터플러스 경면)
903,B46-173,Oriental Brown,14-54115-005,NS,건창기업
904,A35-329,Oriental Brown,14-54115-005,SJ1,청림보드 (성지라미텍 경면)
905,A4-787,Versilia,14-54120-010,소프트엠보,"목림,승은산업,건창기업,제이제이 데코 등"
906,B46-336,Versilia,14-54120-010,NS,건창기업
907,A11-48,Versilia,14-54120-010,PM,"목림, 건창기업"
908,A16-430,Versilia,14-54120-010,SM,"승은산업,건창기업(유사 HM)"
909,A35-429,Versilia,14-54120-010,SJ1,청림보드 (성지라미텍 경면)
910,A7-428,Versilia,14-54120-010,민자,"목림,승은산업,건창기업,제이제이 데코 등"
911,A1-7,Versilia,14-54120-010,CT,목림
912,A11-112,Versilia,14-54120-010,PM,"목림, 건창기업"
913,C40-52,Versilia,14-54120-101,HM,
914,C7-49,Versilia,14-54120-101,민자,
915,B46-548,Versilia,14-54120-101,NS,
916,B37-810,Versilia,14-54120-101,VS,
917,B35-846,Versilia,14-54120-101,SJ1,
918,A4-689,Pinara,14-54122-005,소프트엠보 ,"목림,승은산업,건창기업,제이제이 데코 등"
919,A1-10,Pinara,14-54122-005,CT,목림
920,A40-669,Pinara,14-54122-005,HM,목림(유사 SM)
921,B35-229,Pinara,14-54122-005,SJ1,청림보드 (성지라미텍 경면)
922,B40-158,Pinara,14-54122-006,HM,목림(유사 SM)
923,B37-6,Pinara,14-54122-006,VS,청림보드(인터플러스 경면)
924,A35-330,Pinara,14-54122-006,SJ1,청림보드 (성지라미텍 경면)
925,A10-45,Pinara,14-54122-006,DS,목림
926,A1-358,Pinara,14-54122-006,CT,목림
927,B46-219,Pinara,14-54122-006,NS,건창기업
928,A1-81,Torano,14-54124-001,CT,목림
929,A15-382,Torano,14-54124-001,FT,목림
930,A16-205,Torano,14-54124-001,SM,"승은산업,건창기업(유사 HM)"
931,A35-331,Torano,14-54124-001,SJ1,청림보드 (성지라미텍 경면)
932,A1-82,Torano,14-54124-111,CT,목림
933,A16-206,Torano,14-54124-111,SM,"승은산업,건창기업(유사 HM)"
934,A35-332,Torano,14-54124-111,SJ1,청림보드 (성지라미텍 경면)
935,B37-74,Torano,14-54124-111,VS,청림보드(인터플러스 경면)
936,A16-569,Greystone,14-54130-000,SM,"승은산업,건창기업(유사 HM)"
937,A35-258,Greystone,14-54130-001,SJ1,청림보드 (성지라미텍 경면)
938,C65-31,Greystone,14-54130-001,K,승은산업
939,A16-204,Greystone,14-54130-001,SM,"승은산업,건창기업(유사 HM)"
940,C3-110,Greystone,14-54130-001,UK,
941,B46-182,Greystone,14-54130-001,NS,건창기업
942,A1-5,Greystone,14-54130-001,CT,목림
943,A15-166,Greystone,14-54130-001,FT,목림
944,A37-634,Greystone,14-54130-001,VS,청림보드(인터플러스 경면)
945,A40-799,Greystone,14-54130-001,HM,목림(유사 SM)
946,C40-8,Greystone,14-54130-002,HM,목림(유사 SM)
947,B46-268,Greystone,14-54130-112,NS,건창기업
948,A35-333,Greystone,14-54130-112,SJ1,청림보드 (성지라미텍 경면)
949,A15-383,Greystone,14-54130-112,FT,목림
950,A1-6,Greystone,14-54130-112,CT,목림
951,A16-633,Greystone,14-54130-112,SM,"승은산업,건창기업(유사 HM)"
952,B37-280,Greystone,14-54130-112,VS,청림보드(인터플러스 경면)
953,A11-49,Greystone,14-54130-112,PM,"목림, 건창기업"
954,A37-439,Greystone,14-54130-128,VS,청림보드(인터플러스 경면)
955,B46-183,Greystone,14-54130-128,NS,건창기업
956,C3-111,Greystone,14-54130-128,UK,
957,A16-155,Greystone,14-54130-128,SM,"승은산업,건창기업(유사 HM)"
958,A1-139,Greystone,14-54130-128,CT,목림
959,A35-334,Greystone,14-54130-128,SJ1,청림보드 (성지라미텍 경면)
960,A35-827,Paladina,14-54131-001,SJ1,청림보드 (성지라미텍 경면)
961,B46-174,Paladina,14-54131-001,NS,건창기업
962,B37-157,Paladina,14-54131-001,VS,청림보드(인터플러스 경면)
963,A40-768,Paladina,14-54131-001,HM,목림(유사 SM)
964,A1-193,Paladina,14-54131-002,CT,목림
965,A35-373,Paladina,14-54131-002,SJ1,청림보드 (성지라미텍 경면)
966,A7-483,Paladina,14-54131-002,민자,"목림,승은산업,건창기업,제이제이 데코 등"
967,A15-482,Paladina,14-54131-002,FT,목림
968,B16-135,Paladina,14-54131-002,SM,"승은산업,건창기업(유사 HM)"
969,A37-411,Paladina,14-54131-002,VS,청림보드(인터플러스 경면)
970,B46-175,Paladina,14-54131-002,NS,건창기업
971,B41-59,Paladina,14-54131-002,DP3,프린테크IM
972,A1-641,Paladina,14-54131-002 ,CT,목림
973,A35-412,Paladina,14-54131-002(중복),SJ1,청림보드 (성지라미텍 경면)
974,B40-547,Paladina,14-54131-조색3,HM,
975,A4-688,Uptown,14-54138-001,소프트엠보 ,"목림,승은산업,건창기업,제이제이 데코 등"
976,A35-335,Uptown,14-54138-001,SJ1,청림보드 (성지라미텍 경면)
977,A16-156,Uptown,14-54138-001,SM,"승은산업,건창기업(유사 HM)"
978,A37-436,Uptown,14-54138-001,VS,청림보드(인터플러스 경면)
979,A1-3,Uptown,14-54138-001,CT,목림
980,A33-86,Uptown,14-54138-001,2337TDN,프린테크IM
981,A37-435,Uptown,14-54138-105,VS,청림보드(인터플러스 경면)
982,A16-159,Uptown,14-54138-105,SM,"승은산업,건창기업(유사 HM)"
983,A7-431,Uptown ,14-54138-105,민자,"목림,승은산업,건창기업,제이제이 데코 등"
984,A1-4,Uptown,14-54138-105,CT,목림
985,B42-488,Uptown,14-54138-105,LE1,
986,A35-244,Uptown,14-54138-105,SJ1,청림보드 (성지라미텍 경면)
987,B56-411,Uptown,14-54138-120,DP,승은산업
988,A37-752,Uptown,14-54138-120,VS,청림보드(인터플러스 경면)
989,A40-791,Uptown,14-54138-120,HM,목림(유사 SM)
990,B37-918,Uptown,14-54138-122,VS,
991,B56-412,Uptown,14-54138-122,DP,승은산업
992,B40-369,Uptown,14-54138-122,HM,목림(유사 SM)
993,B46-178,Uptown,14-54138-122,NS,건창기업
994,B35-440,Uptown,14-54138-122,SJ1,청림보드 (성지라미텍 경면)
995,B16-723,Uptown,14-54138-123,SM,
996,B46-179,Uptown,14-54138-123,NS,건창기업
997,B37-112,Uptown,14-54138-123,VS,청림보드(인터플러스 경면)
998,B16-156,Nuvolento,14-54143-103,SM,"승은산업,건창기업(유사 HM)"
999,A11-209,Nuvolento,14-54143-103,PM,"목림, 건창기업"
1000,A35-338,Nuvolento,14-54143-103,SJ1,청림보드 (성지라미텍 경면)
1001,A1-138,Nuvolento,14-54143-103,CT,목림
1002,A41-803,Nuvolento,14-54143-103,DP3,프린테크IM
1003,B35-699,Teramo,14-54145-109,SJ1,청림보드(인터플러스 경면)
1004,B55-409,Teramo,14-54145-109,MM,승은산업
1005,B46-426,Teramo,14-54145-109,NS,건창기업
1006,B37-829,Teramo,14-54145-109,VS,
1007,B40-375,Teramo,14-54145-109,HM,목림(유사 SM)
1008,B46-133,Gypsos,14-54149-002,NS,건창기업
1009,B46-134,Gypsos,14-54149-004,NS,건창기업
1010,A16-568,Alpine slate,14-54152-000,SM,"승은산업,건창기업(유사 HM)"
1011,A35-337,Alpine Slate,14-54152-002,SJ1,청림보드 (성지라미텍 경면)
1012,A16-741,Cementone,14-54154-001,SM,"승은산업,건창기업(유사 HM)"
1013,B46-135,Cementone,14-54154-001,NS,건창기업
1014,B46-136,Cementone,14-54154-003,NS,건창기업
1015,B37-776,Cementone,14-54154-004,VS,
1016,A1-173,Pietra Caspio,14-54161-001,CT,목림
1017,B40-137,Pietra Caspio,14-54161-001,HM,목림(유사 SM)
1018,A1-174,Pietra Caspio,14-54161-002,CT,목림
1019,B40-138,Pietra Caspio,14-54161-002,HM,목림(유사 SM)
1020,A35-372,Pietra Caspio,14-54161-003,SJ1,청림보드 (성지라미텍 경면)
1021,A16-722,Pietra Caspio,14-54161-003,SM,"승은산업,건창기업(유사 HM)"
1022,A40-800,Pietra Caspio,14-54161-003,HM,목림(유사 SM)
1023,B7-198,Pietra Caspio,14-54161-003,민자,목림
1024,A1-175,Pietra Caspio,14-54161-003,CT,목림
1025,B40-139,Pietra Caspio,14-54161-004,HM,목림(유사 SM)
1026,A1-176,Pietra Caspio,14-54161-004,CT,목림
1027,B46-457,Grey Caspio,14-54167-001,NS,
1028,A16-148,Grey Caspio,14-54167-001,SM,"승은산업,건창기업(유사 HM)"
1029,A35-227,Grey Caspio,14-54167-001,SJ1,청림보드 (성지라미텍 경면)
